Text,Category
"me acabo de dar cuenta que las personas feas se juntan con personas igual de feas…
",0
"busco a mi gata se llama niebla. es probable que esté en la ctm culhuacan. ayuda por favor
",0
" @usuario @usuario @usuario me caga que #amlo no confronte a los putos políticos ya a los vergazos,yo estoy puesto pa darme en la madre, urge fusilar a uno de esos ogts
",1
"amo la comida de méxico excepto que me ponga tan pinche gorda, lo siento pero acabe nuestra relación
",0
"mujeres que saben chiflar, ¿dónde se esconden la verga?.
",1
"@usuario nel, alv me vale berga prro, jalate jijue tu puta berga, me vale berga prro. 😂😂😂
",1
"el novio de una conocida se ve bien joto y yo así de: amika, date cuenta. 😂🐍
",0
"es muy cagado que los mensajes que me envía mi hermano en la madrugada ya no son porque está en la peda. ya maduró el chavo :')
",0
"anden putos, recuerdan el #noerapenal #holanda fuera de #rusia2018, esto se llama #karma ehhhhhhhh #puuuuuutos
",1
"todas las karlas son bien putas. y les encanta la verga...menos a una que es mi amika...
",1
"dejen de mamar con sus 280 carácteres, de igual modo los van a seguir usando. bola de payasos.
",0
"la sociedad entera no  puede tolerar éstas cosas.  #sevendeviolencia
",0
"awuevo mis changos!!! adiós putos gringos de mierda!!
",1
"muy cagado que @usuario / @usuario van hasta la sede del juego a trasmitir el mismo programa que en un estudio en #cdmx 🤣😂😂 #nomamen
",0
"#merobómividamx @usuario @usuario  que bueno que alguien más sabe la verdad al menos no van a estar tranquilas esas mujeres feas
",1
"si creen que estoy loca, definan esto que hizo mi hermana
",0
"las putas viejas de mi salon de todo la quieren hacer de pedo que perra necesidad ya me tienen harta las pendejas
",1
"ahora los hombres tienen que andar con cuidado de andar cuidando gente loca, maldita justicia feminista
",0
"<url> así se conducen los delincuentes pegelagarto @usuario y su grupo #morena putos lacras d mierda mal nacidos
",1
" @usuario son putos y les da miedo... total ya todos saben que les gusta por atrás... al menos a uno mas que al otro...
",1
" @usuario @usuario @usuario acuérdense que el hijodeputa de nuño se cree ""presidenciable"" y los usará para su circo en medios. ¿ murat? ese es solo un lameculos
",1
"qué rico me da mi marido rt y fv si les gusta mi culo yo digo que me veo muy gorda ustedes que opinan????
",0
"8 putos meses esperando el álbum de manson pero sabía que no lo tendría en mis manos
",0
"vi thor desde ayer así que me.la pelan con sus spoilers haha
",0
"que nunca se pierda la bonita costumbre de ser nalga pronta. -la más putona de las putas.
",0
"ya quiero ver a todos valer verga el primer día de servicio g g g
",0
"@usuario @usuario @usuario jajajaja que poca madre, pobre messi
",0
"madre ayotzinapa tu corazón sufre un dolor irreparable pues ha sido desgarrado 43 veces santiago savi #pasedelista1al43 @usuario
",0
"los tuits de la desviada ariz me levantan la verga y me hacen desear ser una lesbiana. &gt;:c
",0
"les dan su calaverita ¡a chiflar a la loma! #chivas 3-5 #atlante (penales) #copamx 🏆
",0
"que le regalen una hermosa rosa roja, ese detalle es el que más la vuelve loca🌹
",0
"q tetotas q se antojan mamar chupar y morder esos ricos pezones
",0
"que gorda que soy jaja
",0
"nuestra madre santísima de san juan de los lagos, jalisco,méxico.
",0
"soy una gorda en cuerpo de flaca!
",0
"@usuario si no se ríe te rompe tu madre por mamón jsjaja
",1
"y así es cómo un #chillahermano se pandea, ¡che marica! el_kikin_17…
",1
"@usuario oye, que feas palabras broder :(
",0
"estaba escuchando una canción de justin , mi mamá me gritó que dejará esa música para putos
",0
"nunca se habían cagado tanto en mi como esta persona
",0
"iba a escribir un tuit disculpándome por todos a los que no les respondí wa en los 3 días que no sirvió mi cel y nadie me putas escribió. ☹️
",0
"estoy pensando donde hacer mi servicio y la verdad es la decisión más cabrona qué haré en toda mi vida.
",0
"a coger y mamar que el mundo se va a acabar #buenviernes
",0
"#cosasquememolestan los putos mosquitos zumbándome en la oreja cuando intento dormir... 😡😡😡
",0
"ah! yo de porsi estoy loca, imaginate después de escucharla 😂😂
",0
"solamente a mi se me ocurre bañarme a las putas dos de la mañana
",0
"me quemé un dedo con el sartén por gorda desesperada
",0
"yo percibo que está bien pendeja. pero es mi percepción.
",1
"oye maricón, ¿por qué no pusiste la otra mejilla como buen putito católico?
",1
"ja. no hay problema yo también me puse como loca 😂😂
",0
"quien vi la foto que subí x la mañana de la metida de verga que me dio mi novio 😈😈😈😈
",0
"me iba a comer otro platito de pozole pero me mire la panza y estoy igual de gorda que hace rato, ya no quiero nada…
",0
"@usuario es la típica ex novia ardida que le alegra todo lo malo de su ex. 🙄 #queoso
",0
"¿por qué las gordas que adelgazan se empiezan a vestir como vil putas?
",1
"tiene las manos chidas 😍 pero una caligrafía de la verga.💔
",0
"#pedarumboalmundial putos teatros los que hicieron los hondureños,no saben jugar pinches mierdas
",1
"te ves bien pendeja diciendo que vas a vender las nalgas para comprar el iphone x, todos sabemos que tus nalgas valen una lata de leche nido
",1
"estoy tan gorda que ya ni siquiera puedo meter la panza.
",0
"me masturbé, me quedé dormidita, desperté y otra vez quiero ver porno.  creo que me está haciendo falta una verga... 🤔
",0
"enserio ya tengo que adelgazar 😭 me veo muy gorda 😭😭
",0
"@usuario ya lo se 7n7 solo que le tengo rencor por varias cosas que me ah echo el hdp pero ya xd ya me vengue xd
",1
" @usuario eres un verdadero pendejo marín, pon el resto de la tabla pinche maricon hijo de perra, la vergüenza de @chivas @jlhb33 pendejos!!! 😂😂😂😂😂🤣🤣🤣
",1
"estoy casi segura de que, en este momento, rihanna y yo somos la misma talla, pero pues obvio ella espectacular y yo forever gorda.
",0
"pues lloremos juntos , total tambien los putos hombres lloramos 😭
",0
"@usuario que se pudra el hdp!que imagen tan triste
",1
"vivo a 6 cuadras del tec y estacione a 3. !puto lunes!
",0
"a la verga todo el mundo !!! yo no tengo amigos por eso están todos depurados.
",0
"toysrus es uno de los negocios peor llevados en eeuu. tiendas feas, viejas y caras.
",0
"@usuario la piel prieta?
",0
"¡¡tú estás fea, tú estás fea, heraclia, fea, heraclia, heraclia, tú y tu pinche madre y tu puta madre, fea, heraclia!!
",1
"el hijo de la jefa de mi mamá está bien guapo. pero tiene 16 :( y una novia. porqué me haces esto diosito
",0
"😘tengan una excelente semana somos paola y omar 23 y 26  de ecatepec buscando parejas similares en #lunesardiente #lunesdeg…
",0
"con ese corte de pelo y la pinche voz de marica de ese reportero, yo le hubiera metido otros 2 vergazos. 👏🏻👏🏻👏🏻
",1
"ojala que gane @usuario para que  la tenga difícil el puto del cruz azul.
",1
"esa chava está bien prieta y fea y su foto de perfil está bien blanca.
",1
"hoy es uno de esos días en los que me levanto y digo ""puta madre que horror mi cara""
",0
" @usuario @usuario hay si. hay si .por si no lo viste @usuario ten huevos y dilo tu maricon @usuario par de putos y chinguen su madre
",1
"perdimos pero @usuario nos salvó de una goleada.... todos sus putos seguidores
",0
"el primer paso para volver a empezar es aceptar y reconocer que la has cagado #jamasmerendire
",0
"che joto jajaja solo fue una cachetada, por andar de metiche...
",1
"la novia de luis no cae! !por que sabe como es esa golfa! !
",1
"¡es hermoso hijos de sus putas madres! #starwarsthelastjedi 
",0
"cruzar la calle ""viendo el celular"" es el nuevo ""tragando camote"". pfff
",0
"#deberíaserilegalque no tengas esta lengua en tu verga, rigth now!!  que no??
",0
"pobre bato ya se lo cargo la chingada, una oración por el
",0
"ya va a empezar a mamar la gorda @usuario medranoazteca
",1
"estoy perdiendo el sentido del equilibrio. ¿ustedes qué cosa loca han hecho a sus 20's?
",0
"jefa, no es mi culpa que nuestro jefe esté gordo y se coma todos los chocolates del altar. aparte son de los nugs, o sea, no mamar.
",0
"me estoy volviendo a volver irresponsable como el año pasado, tantos comebacks me distraen y mas el pedo que traigo con el, verga
",0
"una morra cualquiera dijo que, para las mujeres, usar la palabra “verga” es corriente. ¿la mugrosearon en bloque? sí, por supuesto :3
",1
"@usuario @usuario ah pero uno les dice feas y marchan las cabronas!
",1
"pagafantean a pura pinche gata y todavía andan de mamadores con que si ésta o aquella está fea, no mamen, por eso les va como les va
",1
"nunca estamos preparados para la perdida d un ser querido duele tanto y mas si es un familiar una madre un padre… <url>
",0
"vientos mi chochos no se para que putas madres la trajeron así no se pinches puede, yo bato la mezcla para… 
",0
"que espanto con el joto ese que generaliza a los heterosexuales, por imbeciles como el es que odian a la ""comunidad"" 🙄
",1
"por qué atacan a baekhyun? nada más les gusta estar mamando verga , o hacerle caso a lo que dicen los comentarios irrelevantes de knetizens
",0
"lo dice alguien que sin duda le va a un equipo marica... espero no seas amer…
",1
"adiós hijos de su puta madre me morí
",1
"si te vas a ir mucho a la verga de mi lado, déjame igual de feliz a como estaba, yo me entregué en excelentes condiciones. pinche pendeja.😌
",1
"me cagabas por estar hecho de cristal, pero después eliminaste a la selección de mentira y te ame. gracias por tant…
",0
"qué puto calor jaja unas cervezas apenas a toda madre 😂
",0
"creo que tú tweet lo ví muy tarde ja ja, ahora mejor xq estás tú chikilla loca 😃😃
",0
"@usuario telésfora o panchita, la luchona ¿ cuál queda mejor?
",0
"un wey quiso quitar la de rock dj afirmando que es para putos. i guess i'm puto then.
",0
"@usuario otra mama luchona?😁
",0
"quiero dejar de ser gorda☹️.
",0
"según la perra loca los pedos del país son por la corrupción. @usuario @usuario @usuario
",1
"ya sabiamos que a karol siempre le a traído las re ganas su ""mejor amigo"", de que putas se asombran.
",0
"hdp!y sale caminando y mantiene sus laburo cdo en todos los contratos dice q deben tener buena conducta..este encima dice q estaba en pedo😠
",1
"cuando estas soltero ves puras parejas felices y cuando tienes pareja ves a putos solteros felices ¿de que se trata?
",0
"es como si yo digo que para que traen a radiohead si da un chingo de hueva su música a mi parecer y no aportan ni madres. obvio no
",0
"@usuario a pesar de ese maldito pelón tendencioso hdp de medrano
",1
"quien tiene una rica verga con lechita y un culo para mí 😏😏🔥🍆💦💕
",0
"es puñal,  su viejo era el sr telenovela,  jajajaja
",1
"a las conferencias tienes que ir voluntariamente, por gusto. no por qué te obligan, putos.
",0
"@usuario @usuario que le crea a lozasno su puta perra y asquerosa madre ... ese putito priista disfrazado de pitufo tiene mucha cola que le pisen.
",1
"me cagan esas chingaderas y todo lo que tenga que ver con putos norteños imbéciles y gente que dice ""fierro"". cultura mierdera.
",1
"las tontas siempre creerán que son las únicas sobre la tierra.
",0
"@usuario @usuario @usuario no te preocupes, la gente no es tonta, está rata no vuelve a quedar ni de presidente de su colonia
",1
"algo ocurría con mi teclado.. al parecer me da sugerencia de su puto culo. #helpme
",0
"ya saquen a esta pinche vieja ya cae bien gorda con sus payasadas, parece prostituta
",1
"@usuario hijo de tu pinche madre!! 😠 te amo bb😝😍. jajajajajajajajaja 😂😂
",0
"todo el tiempo que desperdicias tratando de ser mejor persona, lo puedes usar viendo porno. ponte verga.
",0
"que pedo con todos los hemos que decían que era su estilo de vida y no lo dejarían y la madre, y ahora son súper última tendencia.
",0
"hola perritos feliz dia apenas jueves y mi culito ya quiere verga gorda quien me lo despacha con leche quiero mucha po…
",0
"porque pija siguen poniendo a di maria?? esa putita no tiene que estar
",1
"mama luchona 💪🏻😎 #unetealafiesta #mevoyalinfierno 😈… <url>
",0
"los diseñadores del trabajo no valen verga, pinches diseños feos.
",0
"hahahahahahaha putos chairos, ojala se atraganten con un pedazo de vidrio por ridiculous
",1
"huevos chorizo cabeza pescuezo camote salchicha milarguesa pitomate. <url>
",0
" @usuario como debe de ser. y yo creo que no tarda en subir. cagado de risa llega al 4 a final del año.
",0
"un #shazam pero...¡para adivinar tus puntos suspensivos, cabrón!
",0
"@usuario ya m tienen hasta la madre esos maes
",0
"alguien se quiere salir !! lo sacamos?? denle #rt para sacarlo! #bear #osomamador #boxer #verga
",0
"las feas leyendo mis estados y cambiando sus fotos de perfil... el filtro azul de snap y creer que por tener fotos ""pro"" ya son modelos! 
",0
"todos los lameculos gobiernos neoliberales obedecen órdenes de trump. pueblos jodidos. <url>
",1
"estuviéramos cojiendo pero estás dormido disque porque estás cansado y así no se putas puede!
",0
"¿quien será el hdp que corta @usuario en gdl a las 2:53 pa poner puros comerciales?
",1
"marica ¿como que sophie turner se va a casar con joe jonas? ¿¡quien hace eso?!
",0
"me agarré puente desde el jueves pero ahorita estoy mamando con tareas  😥
",0
"#nuncafalta la prieta que quiere mechas californianas
",1
"pinches inglecitos putos tirándose como sudamericanos para perder tiempo.  @usuario eres un crack. #fifau17wc 🇲🇽
",1
"a las putas también las sacan de trabajar de los congales. - información que cura.
",0
"memo buffon zelada chilavert ochoa ,hijos de toda su chingada madre
",1
"te voy a matar pinche maricon asqueroso @usuario mejor ni pises el aeropuerto.
",1
"perdón me alteré dd oye me vas a decir que estoy loca pero justamente ayer soñé contigo y con willy😂
",0
"en su pinche rancho se nos respeta, hijos de su tica madre @usuario #puravida #costarica
",1
"viernes, 8:45pm, enyesada, fea, gorda, limpia y sin amigos. ya vengo, voy a matarme.
",0
" @usuario jajajaja... primeras feministas, jajajaja... que no friegue esa señora, además de naca estúpida, se contradice la tonta varias veces 
",1
"esta está loca, solo fue mal entendido desde un principio porque no dijo nada la señora
",0
"se mamó, se mamó el internet. se mamó. #happyhalloween2017
",0
"ah que don chente, el que prometió acabar con las ""víboras prietas"" y se convirtió en una. aquí asume que forma parte de una mafia. 
",1
"estoy sospechando que ese vato es joto y pocas veces me equivoco ..
",1
"a trabajar pero antes una foto #sexy #gay #tanga #azul
",0
"disculpa, me altere, deschinga tú madre y regrésate de la verga
",0
"y si me preguntan que si te quiero les responderé que si, si me dicen que soy una tonta por quererte tal vez sea la verdad
",0
" @usuario estás hermosa cabrona
",0
"a ver si se digna de hacer goles el hijue 100000 putas!
",0
"¿en qué momento dejamos de frecuentar los baños para drogarnos y lo cambiamos por las selfies? pinche generación de la verga.
",1
"porque mierda no puedo ser lo suficientemente hdp en ciertas ocasiones de mi vida
",0
"me mama como me vale verga que se que tengo que ir a trabajar y me vale verga 😢😂😂😂😂😂
",0
"las que lo tuitean y las que lo vuelven literatura.
",0
"no mamar era mi maximo de niño quien no en los 70's y 80's tenia un luchador de muñeco esta pendejo el director
",1
"que cabrones!!!!!! yo están desahogándome con mis amigas de que ya no iban a subir video llorando como loc…
",0
"solo a las más putas les gusta las alitas y la cerveza.
",1
"que ya se va a independizar el méxico del norte? órale putos váyanse que aquí estorban.
",1
"@usuario pendeja , pártele su madre
",1
"@usuario ¡que viva la madre rusia!
",0
"con esta descarga dentro de la concha de está putita juro que queda preñada
",1
"@usuario y chingo su madre jajajajaja
",0
"al chile que bonita película la de coco, pixar se mamo. btw ya quitaron el corto de 30 minutos de olaf
",0
"y mi mamá q pensaba q yo estaba loca x pensar q #benja es hijo de #damian desde q vi lo güerito q es 😉 #caerententacion
",0
"quiero mamar vergaaaa. tragar semen. tengo antojo cabrón
",0
"mentira que por ""putas"" las asesinan, también a las que son  ""esposas y madres perfectas"". no hay espacios seguros para las mujeres.
",0
"@usuario wey con tus pinches tweets estoy al pendiente de todo y hasta estoy ardida yo🤣
",0
"ya sabes que lo mío es tuyo y lo tuyo me vale verga pues tengo lo mío.
",0
"para que con motivos nos llamen putas 🤷🏽‍♀️😂😂😂 
",0
"#aprovechotuiterpadecirq wl q retwitee esto es joto :v
",0
"putos dientes, nen. recúperarte querido antonio carmona.
",0
"qué horrible ser mujer y tener que vivir cuidándote de todos los hombres que se te cruzan.
",0
"estos mens se creen los mamados, cuando no tienen nada, y a cada puto rato presumen :))))
",0
"en lugar de apurarme a mi tarea, me pongo a pensar en ideas millonarias todas tontas.😂
",0
"llenaria un teibol con estas putas!!! ganas que tengo de verte. u.u
",0
"no sean ofrecidas. recuerden que la vida es una película de terror y en ellas siempre mueren primero las putas.
",0
"1 hora esperando bus de copesa nte sur, cuando putas van a hacer algo al respecto?? @usuario 
",0
" @usuario gracias cabron
",0
"morena es el ultimo recurso de los corruptos; q no sea ingenuo monreal, si quiere s…
",0
"a horse with no name, no te pases de verga que cuento tan chingon
",0
"increíble... pasan los putos simios tercermundistas hondureños y eua no va al mundial.  solo tiran patadas y hacen tiempo, antifútbol.
",1
"ya que pasó el mame de sarahah me da morbo usarlo, la neta. si abro uno, ¿me dirán cositas bonitas o feas?
",0
